timestamp, round_id, slot1, slot2, slot3, slot4, slot5
2025-12-18 20:22:12,2013,tomato,hotdog,hotdog,tomato,horse
2025-12-18 20:22:52,2014,tomato,tomato,hotdog,hotdog,tomato
2025-12-18 20:23:32,2015,tomato,tomato,tomato,hotdog,hotdog
2025-12-18 20:24:12,2016,tomato,tomato,tomato,tomato,hotdog
2025-12-18 20:24:52,2017,hotdog,tomato,tomato,tomato,tomato
2025-12-18 20:25:32,2018,ballon,hotdog,tomato,tomato,tomato
2025-12-18 20:26:12,2019,carrot,ballon,hotdog,tomato,tomato
2025-12-18 20:26:52,2020,carrot,carrot,ballon,hotdog,tomato
2025-12-18 20:27:33,2021,carrot,carrot,carrot,ballon,hotdog
2025-12-18 20:28:13,2022,cycle,carrot,carrot,carrot,ballon
2025-12-18 20:28:53,2023,carrot,cycle,carrot,carrot,carrot
2025-12-18 20:29:33,2024,leg,carrot,cycle,carrot,carrot
2025-12-18 20:30:13,2025,hotdog,leg,carrot,cycle,carrot
2025-12-18 20:30:53,2026,cycle,hotdog,leg,carrot,cycle
2025-12-18 20:31:33,2027,tomato,cycle,hotdog,leg,carrot
2025-12-18 20:32:13,2028,tomato,tomato,cycle,hotdog,leg
2025-12-18 20:32:54,2029,horse,tomato,tomato,cycle,hotdog
2025-12-18 20:39:40,2040,tomato,ballon,leg,hotdog,tomato
2025-12-18 20:40:21,2041,leg,tomato,ballon,leg,hotdog
2025-12-18 20:41:01,2042,carrot,leg,tomato,ballon,leg
2025-12-18 20:41:41,2043,ballon,carrot,leg,tomato,ballon
2025-12-18 20:42:21,2044,ballon,carrot,leg,tomato,ballon
2025-12-18 20:43:01,2045,ballon,carrot,leg,tomato,ballon
2025-12-18 20:43:41,2046,ballon,carrot,leg,tomato,ballon
2025-12-21 14:30:10,1485,hotdog,tomato,leg,hotdog,leg
2025-12-21 14:30:50,1486,carrot,hotdog,tomato,leg,hotdog
2025-12-21 14:31:30,1487,ballon,carrot,hotdog,tomato,leg
2025-12-21 14:32:10,1488,horse,ballon,carrot,hotdog,tomato
2025-12-21 14:32:50,1489,carrot,horse,ballon,carrot,hotdog
2025-12-21 14:33:30,1490,leg,carrot,horse,ballon,carrot
2025-12-21 14:34:10,1491,tomato,leg,carrot,horse,ballon
2025-12-21 14:34:50,1492,ballon,tomato,leg,carrot,horse
2025-12-21 14:35:30,1493,ballon,ballon,tomato,leg,carrot
2025-12-21 14:36:11,1494,carrot,ballon,ballon,tomato,leg
2025-12-21 14:36:51,1495,carrot,carrot,ballon,ballon,tomato
2025-12-21 14:37:31,1496,leg,carrot,carrot,ballon,ballon
